fecha,expediente,razon_social,area_m2,numero_pisos,nivel_riesgo,vigencia,giro_alquiler,giro_bar,giro_botica,giro_cafeteria,giro_comercio,giro_deportivo,giro_distribuidora,giro_educacion,giro_elaboracion,giro_evento,giro_farmacia,giro_ferreteria,giro_gimnasio,giro_hospedaje,giro_hotel,giro_industrial,giro_licoreria,giro_mineria,giro_panaderia,giro_poligono,giro_quimicos,giro_restaurante,giro_salud,giro_servicios,giro_transporte,horario_atencion_24 horas,horario_atencion_horario especial,horario_atencion_mañana,horario_atencion_noche,horario_atencion_tarde,nivel_riesgo_encoded
03/02/2023,001554-2023-01,CREPES SOL,27,1,medio,14/02/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
03/02/2023,001572-2023-01,BRISAS DEL MAR,67,1,medio,28/02/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
03/02/2023,001577-2023-01,EL SUCO,20,1,medio,14/02/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
06/02/2023,001622-2023-01,D'IONS S.R.LTDA,57,2,alto,21/02/2025,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
07/02/2023,001730-2023-01,SOL ALPACA,23,1,medio,14/02/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
07/02/2023,001742-2023-01,CASA VERDE GPURMET,19,1,medio,14/02/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
           08/20/2023,001783-2023-01,BOMBONA BEACH,20,1,medio,15/02/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
08/02/2023,001784-2023-01,HOTEL RIVIERA MUCHIK,119,3,alto,21/02/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
08/02/2023,001822-2023-01,CANTERA ALFA Y OMEGA,52,1,medio,06/03/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
09/02/2023,001843-2023-01,RESTAURANTE LA ISLA,22,1,medio,16/02/2023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
09/02/2023,001868-2023-01,POLLERIA D'LUCHOS,25,1,medio,14/02/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
10/02/2023,001893-2023-01,I.E.P. JOHN FORBES NASH,63,2,alto,22/02/2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
13/02/2023,001990-2023-01,BODEGA RIOS,27,1,medio,22/02/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
13/02/2023,002004-2023-01,EM CREATIVA SAC,18,1,medio,22/02/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
14/02/2023,002024-2023-01,COMERCIAL PATTY,20,1,medio,28/02/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
15/02/2023,002079-2023-01,SERAVAL,63,2,muy alto,21/02/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
16/02/2023,000338-2023-02,I.E.P. MUNDO FELIZ,104,2,alto,22/02/2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
16/02/2023,002203-2023-01,METAL WORK PERU SAC,137,2,muy alto,17/02/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
16/02/2023,000480-2023-02,EBARISTO,64,2,muy alto,17/02/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
17/02/2023,002220-2023-01,BUNGALOWS SC,29,1,medio,21/02/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
17/02/2023,002222-2023-01,I.E.P. MIS EDUCARES,19,1,alto,10/04/2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
17/02/2023,002255-2023-01,CENTRO MEDICO CAMFER,23,1,medio,07/03/2023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
17/02/2023,002262-2023-01,WOLF MAN GROUP EIRL.,900,2,muy alto,08/03/2023,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
20/02/2023,002289-2023-01,CARAL VIO LUONGE,20,1,medio,24/02/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
20/02/2023,002290-2023-01,ROUND TRIP MARKET EMBARQUE,20,1,medio,24/02/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
20/02/2023,002291-2023-01,ROUND TRIP MARKET EMBARQUE,20,1,medio,24/02/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
20/02/2023,002351-2023-01,COSABELL,20,1,medio,06/03/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
20/02/2023,002356-2023-01,EE.SS.JIREH,98,1,medio,03/03/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
20/02/2023,002361-2023-01,RESTAURANTE BAR CARTAGENA,46,2,alto,28/02/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
22/02/2023,002495-2023-01,EMP. DE TRANSP. Y NEGOCIOS ALD SAC,59,1,muy alto,06/03/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,2
